aX,aY,aZ,gX,gY,gZ,label
-0.717,0.811,0.184,-34.668,-26.733,-59.998,0
-0.627,0.807,0.120,-39.490,-32.715,-66.467,0
-0.535,0.803,0.016,-42.175,-37.292,-73.608,0
-0.437,0.820,-0.051,-37.598,-34.546,-83.435,0
-0.391,0.831,-0.069,-30.640,-45.410,-83.923,0
-0.391,0.779,-0.091,-24.597,-56.091,-87.463,0
-0.278,0.787,-0.127,-19.592,-44.861,-99.060,0
-0.210,0.802,-0.158,-18.372,-39.734,-104.492,0
-1.269,0.958,0.334,-4.272,-19.531,74.097,0
-1.299,0.941,0.304,-4.395,-27.954,59.692,0
-1.308,0.919,0.308,-4.272,-40.466,42.786,0
-1.314,0.843,0.299,-8.728,-41.748,20.813,0
-1.283,0.828,0.244,-20.081,-42.053,6.042,0
-1.170,0.825,0.139,-26.184,-46.326,-21.667,0
-1.075,0.801,0.055,-26.794,-36.621,-43.457,0
-0.949,0.784,0.044,-21.790,-34.790,-64.758,0
-0.791,0.764,0.049,-20.325,-36.804,-82.031,0
-0.653,0.739,0.032,-21.179,-37.170,-94.116,0
-0.505,0.739,0.003,-21.973,-38.818,-103.271,0
-0.380,0.738,-0.036,-21.545,-39.429,-108.948,0
-0.314,0.746,-0.064,-19.531,-49.133,-111.206,0
-0.214,0.743,-0.100,-17.639,-54.993,-114.807,0
-0.120,0.745,-0.137,-16.357,-46.021,-117.981,0
-0.102,0.779,-0.153,-14.648,-37.842,-121.094,0
-0.007,0.761,-0.161,-12.329,-39.856,-122.803,0
0.102,0.781,-0.179,-6.348,-51.941,-117.798,0
0.162,0.797,-0.163,-4.028,-35.217,-116.211,0
0.195,0.815,-0.151,-1.587,-37.537,-116.943,0
0.348,0.825,-0.143,-1.953,-25.146,-121.033,0
0.498,0.859,-0.158,-4.150,-23.132,-118.286,0
0.665,0.887,-0.227,-5.371,-14.465,-110.413,0
0.788,0.899,-0.224,-1.099,-15.930,-96.924,0
0.923,0.904,-0.240,2.380,-12.146,-78.735,0
0.981,0.929,-0.267,5.066,-7.324,-59.265,0
1.024,0.932,-0.276,6.104,0.916,-41.382,0
1.063,0.915,-0.302,7.080,8.362,-22.156,0
1.029,0.899,-0.291,12.634,9.033,0.610,0
0.921,0.878,-0.236,16.724,9.521,22.705,0
0.803,0.871,-0.209,14.526,15.198,38.879,0
0.737,0.863,-0.224,11.536,23.315,48.828,0
0.660,0.877,-0.250,12.817,25.879,51.941,0
0.590,0.880,-0.247,17.395,30.090,59.021,0
0.531,0.879,-0.201,21.790,34.363,65.918,0
0.474,0.863,-0.162,23.376,38.574,73.242,0
0.378,0.848,-0.122,22.278,41.931,79.468,0
0.308,0.858,-0.140,20.081,43.823,83.374,0
0.259,0.856,-0.144,24.536,44.556,89.050,0
0.176,0.843,-0.136,26.306,44.861,91.248,0
0.137,0.821,-0.123,29.724,50.964,91.125,0
0.073,0.802,-0.097,32.349,58.105,93.201,0
-0.048,0.808,-0.045,37.659,41.199,99.792,0
-0.140,0.796,0.011,38.391,23.193,105.286,0
-0.221,0.780,0.010,35.278,20.935,103.455,0
-0.301,0.825,0.019,32.043,31.982,95.520,0
-0.344,0.854,0.032,33.264,40.649,94.482,0
-0.463,0.846,0.114,33.325,30.762,93.811,0
-0.525,0.829,0.178,31.494,14.038,90.027,0
-0.553,0.841,0.167,23.560,28.687,81.909,0
-0.727,0.889,0.142,20.325,48.523,75.684,0
-0.833,0.924,0.211,23.621,33.508,62.256,0
-0.881,0.952,0.313,21.912,29.114,49.011,0
-0.876,0.980,0.336,18.677,35.339,43.396,0
-0.890,1.051,0.404,10.376,18.738,41.565,0
-0.969,0.992,0.379,3.174,-15.747,45.715,0
-1.047,0.968,0.389,2.380,-51.941,38.879,0
-1.061,0.914,0.337,-6.653,-65.613,21.423,0
-1.021,0.909,0.255,-16.663,-52.551,-2.502,0
-0.912,0.887,0.162,-25.696,-28.748,-28.015,0
-0.842,0.876,0.101,-28.320,-12.451,-48.279,0
-0.704,0.873,0.078,-26.184,-13.855,-63.965,0
-0.579,0.860,0.069,-23.376,-22.522,-70.984,0
-0.514,0.840,0.049,-23.437,-26.611,-76.111,0
-0.438,0.821,0.038,-23.987,-33.569,-82.153,0
-0.399,0.820,0.018,-27.161,-31.921,-87.280,0
-0.331,0.817,-0.041,-29.419,-27.466,-94.177,0
-0.213,0.818,-0.088,-28.687,-27.100,-99.121,0
-0.132,0.813,-0.120,-25.879,-31.250,-99.548,0
-0.092,0.811,-0.143,-20.081,-42.603,-96.069,0
-0.062,0.817,-0.141,-13.855,-53.711,-96.191,0
-0.006,0.799,-0.113,-13.000,-49.744,-100.647,0
0.088,0.815,-0.137,-14.160,-38.940,-105.469,0
0.226,0.843,-0.179,-13.428,-34.973,-106.873,0
0.335,0.841,-0.205,-10.803,-29.053,-102.722,0
0.471,0.859,-0.176,-6.775,-33.081,-96.069,0
0.596,0.898,-0.202,-5.676,-31.982,-86.548,0
0.694,0.912,-0.224,-3.906,-28.870,-74.829,0
0.809,0.928,-0.230,-1.221,-21.973,-62.988,0
0.895,0.940,-0.217,1.526,-14.587,-48.462,0
0.947,0.908,-0.189,2.380,-12.451,-29.480,0
0.954,0.927,-0.186,1.282,-11.230,-8.728,0
0.916,0.925,-0.227,0.305,-8.423,5.920,0
0.893,0.927,-0.284,1.709,3.540,12.024,0
0.831,0.903,-0.288,5.737,13.000,25.574,0
0.741,0.877,-0.275,8.850,20.569,36.987,0
0.672,0.867,-0.283,11.169,26.184,45.959,0
0.614,0.863,-0.275,14.221,30.334,55.237,0
0.535,0.851,-0.244,16.968,33.936,65.857,0
0.434,0.861,-0.230,19.043,38.147,71.594,0
0.421,0.859,-0.231,20.569,44.800,74.585,0
0.381,0.847,-0.223,23.926,49.683,76.721,0
0.323,0.839,-0.173,29.419,52.002,84.412,0
0.218,0.819,-0.107,33.752,45.166,94.360,0
0.129,0.801,-0.064,34.302,41.687,100.647,0
0.088,0.784,-0.061,33.142,46.509,101.440,0
0.010,0.810,-0.040,34.424,48.645,105.530,0
-0.075,0.813,0.034,37.842,31.494,113.953,0
-0.212,0.807,0.103,37.720,23.560,116.821,0
-0.348,0.824,0.163,31.128,31.616,116.333,0
-0.364,0.813,0.152,17.334,59.631,105.774,0
-0.461,0.835,0.156,8.057,85.449,94.055,0
-0.719,0.891,0.174,13.428,84.656,92.468,0
-0.851,0.947,0.323,24.963,33.142,84.595,0
-0.902,0.913,0.418,14.832,-0.427,72.998,0
-1.016,0.928,0.413,5.737,3.845,65.674,0
-0.956,0.975,0.328,-9.155,23.437,51.208,0
-0.885,0.976,0.235,-15.869,23.437,45.532,0
-1.053,0.916,0.230,-13.428,-0.305,44.861,0
-1.022,0.906,0.257,-10.681,-39.001,33.875,0
-1.036,0.879,0.228,-16.479,-57.617,21.179,0
-1.003,0.872,0.151,-25.513,-45.471,4.578,0
-0.951,0.855,0.051,-30.334,-37.842,-14.587,0
-0.883,0.847,-0.024,-29.907,-26.611,-33.569,0
-0.819,0.837,-0.022,-23.376,-31.677,-49.805,0
-0.714,0.806,-0.005,-18.677,-40.527,-64.880,0
-0.605,0.801,-0.034,-18.738,-36.560,-78.186,0
-0.502,0.792,-0.073,-19.470,-32.776,-89.355,0
-0.414,0.783,-0.096,-18.555,-31.860,-97.961,0
1.477,0.825,-0.371,-6.531,-10.071,-78.674,0
1.457,0.828,-0.395,-4.395,-38.025,-32.166,0
1.383,0.848,-0.475,12.939,-24.048,0.305,0
1.352,0.852,-0.510,5.493,-12.573,13.123,0
1.230,0.824,-0.422,15.198,4.089,41.687,0
1.081,0.784,-0.402,19.714,15.198,64.941,0
0.970,0.780,-0.378,24.719,12.573,84.167,0
0.896,0.768,-0.354,26.611,14.038,93.506,0
0.742,0.734,-0.319,29.541,21.179,109.863,0
0.595,0.715,-0.271,32.410,25.085,123.291,0
0.498,0.694,-0.247,35.217,36.072,130.798,0
0.359,0.728,-0.224,37.903,35.034,133.301,0
0.196,0.720,-0.151,44.922,31.250,140.747,0
0.059,0.704,-0.017,45.288,32.715,143.860,0
-0.054,0.695,0.049,37.842,31.921,144.409,0
-0.171,0.706,0.059,33.508,31.311,145.081,0
-0.361,0.764,0.063,32.471,17.700,148.926,0
-0.560,0.802,0.099,31.860,-13.000,151.917,0
-0.591,0.843,0.167,29.358,-15.747,149.597,0
-0.815,0.849,0.283,16.846,0.000,148.865,0
-0.944,0.788,0.285,6.348,16.968,145.813,0
-1.285,0.758,0.212,-3.540,13.794,122.925,0
-1.321,0.861,0.220,-2.014,-19.958,84.839,0
-1.341,0.904,0.106,-13.794,11.597,59.082,0
-1.329,0.926,0.076,-13.428,16.296,36.865,0
-1.215,0.874,0.102,-10.620,-6.775,22.156,0
-1.309,0.787,0.112,-12.695,-11.536,0.732,0
-1.135,0.802,0.078,-12.756,-32.227,-32.837,0
-1.081,0.806,0.007,-16.541,-25.208,-58.350,0
-0.963,0.822,-0.062,-16.968,-3.723,-79.224,0
-0.893,0.765,-0.019,-13.062,-8.484,-97.656,0
-0.768,0.769,-0.010,-10.254,-12.939,-114.868,0
-0.620,0.775,-0.022,-9.277,-16.968,-126.770,0
-0.449,0.747,-0.020,-9.766,-26.367,-132.812,0
-0.314,0.732,-0.034,-11.963,-37.109,-131.409,0
-0.331,0.720,-0.071,-14.221,-34.729,-139.587,0
-0.224,0.725,-0.135,-17.944,-20.325,-158.875,0
0.056,0.710,-0.201,-20.813,5.127,-171.692,0
0.135,0.704,-0.204,-17.761,12.207,-169.434,0
0.404,0.748,-0.219,-12.024,3.174,-165.955,0
0.419,0.741,-0.183,-5.493,-19.165,-153.320,0
0.590,0.758,-0.202,-8.606,-12.634,-147.522,0
0.748,0.798,-0.280,-11.230,-3.662,-138.916,0
0.858,0.807,-0.311,-7.812,0.366,-122.437,0
1.007,0.825,-0.293,-1.404,-4.578,-102.478,0
1.185,0.834,-0.307,0.183,-12.817,-75.439,0
1.225,0.828,-0.312,2.258,-26.672,-40.894,0
1.141,0.842,-0.356,3.235,-17.761,-15.259,0
1.120,0.835,-0.397,6.287,1.892,-0.916,0
1.112,0.825,-0.337,14.038,10.925,17.151,0
0.966,0.796,-0.283,17.334,9.766,37.842,0
0.916,0.799,-0.279,16.663,9.338,50.354,0
0.838,0.813,-0.314,16.418,13.062,54.993,0
0.806,0.813,-0.354,19.653,17.029,67.383,0
0.700,0.802,-0.326,26.611,19.531,81.482,0
0.603,0.796,-0.252,32.166,22.278,91.797,0
0.522,0.779,-0.169,33.203,23.193,102.844,0
0.445,0.761,-0.136,29.907,16.052,114.807,0
0.373,0.770,-0.149,27.161,16.113,122.620,0
0.345,0.774,-0.161,28.564,19.287,133.667,0
0.150,0.747,-0.120,31.738,16.174,140.076,0
-0.057,0.742,-0.043,36.377,7.263,144.714,0
-0.158,0.751,0.013,34.485,1.587,139.709,0
-0.209,0.754,0.024,26.306,16.235,129.944,0
-0.310,0.805,0.007,23.315,21.301,128.479,0
-0.451,0.828,0.048,29.114,-3.479,134.460,0
-0.508,0.832,0.063,30.029,-18.677,132.080,0
-0.560,0.840,0.095,30.518,-16.541,121.460,0
-0.663,0.859,0.157,21.301,7.935,110.718,0
-0.795,0.871,0.166,8.972,42.175,99.915,0
-1.005,0.906,0.204,4.883,27.344,93.323,0
-1.167,0.901,0.200,6.531,0.122,86.121,0
-1.263,0.905,0.192,4.211,-22.278,66.711,0
-1.260,0.892,0.173,3.479,-34.485,41.931,0
-1.217,0.881,0.127,0.305,-27.771,15.625,0
-1.148,0.871,0.150,-0.671,-27.344,-13.062,0
-1.126,0.835,0.144,-5.127,-21.423,-41.382,0
-0.967,0.854,0.122,-9.155,-10.925,-72.571,0
-0.840,0.859,0.082,-14.954,5.981,-85.938,0
-0.706,0.856,0.067,-15.564,-2.319,-91.064,0
-0.598,0.822,0.053,-16.174,-9.705,-96.863,0
-0.536,0.814,0.045,-17.090,-19.165,-102.966,0
-0.433,0.790,0.039,-19.714,-23.621,-114.258,0
-0.357,0.778,0.002,-25.208,-3.418,-126.648,0
-0.225,0.794,-0.047,-27.161,14.221,-137.573,0
-0.041,0.802,-0.091,-26.306,11.597,-136.841,0
0.051,0.785,-0.123,-24.963,-6.165,-126.343,0
0.042,0.800,-0.136,-23.010,-16.663,-121.277,0
0.055,0.794,-0.157,-23.499,-13.123,-126.526,0
0.157,0.779,-0.188,-25.574,10.132,-137.939,0
0.389,0.799,-0.266,-27.161,26.550,-143.311,0
0.533,0.790,-0.307,-23.254,29.846,-137.268,0
0.730,0.800,-0.334,-16.846,28.076,-125.183,0
0.862,0.829,-0.338,-10.925,13.245,-103.760,0
0.992,0.830,-0.328,-7.324,-3.479,-78.369,0
1.091,0.853,-0.345,-5.554,-26.794,-48.767,0
1.070,0.869,-0.378,-4.211,-28.564,-20.020,0
0.999,0.854,-0.390,-0.854,-13.367,0.488,0
0.989,0.849,-0.381,5.188,-3.174,15.503,0
0.979,0.841,-0.364,9.460,-2.014,31.860,0
0.919,0.837,-0.365,11.047,-1.709,48.889,0
0.822,0.830,-0.355,14.038,-0.610,55.603,0
0.725,0.823,-0.345,16.479,5.493,68.237,0
0.613,0.811,-0.328,20.630,11.597,78.552,0
0.522,0.811,-0.306,25.208,14.893,85.632,0
0.479,0.811,-0.267,30.212,16.052,93.140,0
0.393,0.799,-0.217,33.142,19.836,101.807,0
0.275,0.796,-0.177,34.729,23.743,109.497,0
0.223,0.789,-0.149,36.804,20.386,115.356,0
0.098,0.789,-0.124,38.513,19.104,117.249,0
-0.020,0.788,-0.075,38.757,21.973,114.929,0
-0.059,0.786,-0.067,37.048,33.325,109.375,0
-0.166,0.809,-0.020,36.194,31.128,106.201,0
-0.244,0.861,0.034,38.330,14.465,109.558,0
-0.454,0.855,0.144,37.415,-1.404,111.938,0
-0.500,0.880,0.182,25.391,28.259,97.900,0
-0.522,0.905,0.177,2.686,51.941,84.412,0
-0.563,0.938,0.181,10.010,58.838,80.444,0
-0.616,0.952,0.227,8.118,61.646,79.224,0
1.236,0.852,-0.511,16.235,-17.517,-17.517,0
1.113,0.824,-0.536,18.616,-17.334,18.677,0
1.061,0.821,-0.520,22.156,-11.963,44.739,0
0.937,0.789,-0.449,27.222,-7.935,54.321,0
0.888,0.782,-0.405,25.696,0.488,71.411,0
0.762,0.766,-0.404,26.733,7.080,89.905,0
0.702,0.779,-0.381,33.020,6.470,107.971,0
0.633,0.762,-0.310,35.583,-5.737,130.005,0
0.414,0.735,-0.247,34.302,-5.798,136.963,0
0.275,0.726,-0.203,28.992,-2.136,146.179,0
0.074,0.739,-0.223,26.794,-2.930,153.076,0
-0.066,0.768,-0.183,31.250,-9.949,160.400,0
-0.198,0.771,-0.063,25.146,-7.324,162.292,0
-0.241,0.740,-0.040,14.404,4.456,168.152,0
-0.313,0.780,-0.063,9.033,-1.038,179.687,0
-0.513,0.762,-0.052,7.690,-25.635,188.660,0
-0.773,0.755,0.001,5.859,-29.907,187.439,0
-1.008,0.729,0.032,-2.380,-12.329,173.706,0
-1.389,0.710,0.028,-10.132,-7.568,148.132,0
-1.445,0.771,0.008,-8.728,-5.859,108.093,0
-1.445,0.777,-0.039,-17.090,1.343,68.237,0
-1.427,0.768,-0.110,-19.165,-1.465,36.987,0
-1.375,0.758,-0.132,-12.268,-19.531,4.883,0
-1.247,0.757,-0.115,-7.080,-40.344,-29.480,0
-1.155,0.737,-0.122,-6.958,-28.259,-62.256,0
-0.983,0.718,-0.153,-7.568,-15.930,-91.492,0
-0.831,0.713,-0.168,-5.432,-16.174,-110.840,0
-0.667,0.722,-0.195,-3.296,-16.357,-127.380,0
-0.558,0.734,-0.229,1.404,-23.132,-139.343,0
-0.391,0.754,-0.223,7.874,-32.043,-148.071,0
-0.327,0.740,-0.210,11.230,-31.738,-155.884,0
-0.189,0.713,-0.181,12.878,-20.081,-170.898,0
0.001,0.730,-0.193,5.310,0.977,-183.838,0
0.299,0.763,-0.308,4.150,20.264,-183.777,0
0.363,0.785,-0.371,7.385,3.845,-174.194,0
0.505,0.777,-0.369,15.747,11.536,-162.659,0
0.570,0.767,-0.331,15.015,20.264,-151.978,0
0.733,0.769,-0.301,15.381,20.813,-141.785,0
0.869,0.815,-0.316,12.878,3.113,-114.014,0
0.944,0.844,-0.342,7.935,-10.010,-83.252,0
0.956,0.852,-0.364,9.277,-17.456,-53.284,0
1.029,0.902,-0.374,12.634,-21.851,-29.419,0
1.036,0.880,-0.363,15.686,-14.282,-5.859,0
0.976,0.861,-0.311,16.907,0.854,13.977,0
0.883,0.865,-0.301,17.151,9.277,30.884,0
0.796,0.868,-0.304,18.799,10.132,45.410,0
0.755,0.863,-0.295,18.433,20.508,58.655,0
0.672,0.853,-0.295,20.020,23.560,65.735,0
0.558,0.833,-0.281,22.644,29.358,78.003,0
0.448,0.829,-0.262,27.527,25.635,87.341,0
0.376,0.824,-0.237,31.189,23.132,93.445,0
0.302,0.807,-0.196,33.142,19.531,100.830,0
0.255,0.805,-0.172,36.804,13.855,109.802,0
0.222,0.803,-0.121,39.063,8.057,124.084,0
0.123,0.786,-0.090,37.720,8.423,130.859,0
-0.049,0.756,-0.031,31.494,5.493,140.747,0
-0.221,0.744,-0.038,26.062,-6.042,142.944,0
-0.336,0.814,-0.012,24.658,-34.119,146.301,0
-0.440,0.844,-0.014,19.409,-43.091,150.696,0
-0.613,0.864,0.026,14.587,-47.058,153.809,0
-0.790,0.849,0.097,2.808,-14.526,138.672,0
-0.996,0.823,0.111,-10.376,24.109,116.516,0
-1.165,0.860,0.083,-10.254,9.216,91.431,0
-1.157,0.912,0.074,-7.202,-16.907,70.313,0
-1.135,0.921,0.069,-13.489,-14.282,51.758,0
-1.167,0.871,0.049,-16.357,-10.254,32.166,0
-1.192,0.846,0.045,-17.334,-15.869,22.034,0
-1.213,0.817,0.036,-18.738,-23.987,-2.808,0
-1.094,0.820,-0.013,-19.958,-26.123,-32.776,0
-1.017,0.812,-0.053,-20.020,-20.630,-57.739,0
-0.882,0.792,-0.105,-18.738,-11.597,-80.444,0
-0.773,0.783,-0.115,-16.418,-10.559,-100.159,0
-0.611,0.785,-0.110,-14.099,-11.658,-115.784,0
-0.459,0.762,-0.119,-14.343,-9.277,-126.526,0
-0.334,0.775,-0.137,-11.719,-9.399,-131.592,0
-0.215,0.797,-0.150,-7.385,-21.423,-130.127,0
-0.105,0.791,-0.157,-6.836,-33.875,-128.906,0
-0.067,0.756,-0.187,-7.874,-20.935,-133.484,0
0.014,0.766,-0.201,-9.583,-9.094,-145.935,0
0.267,0.783,-0.280,-12.146,-10.864,-150.879,0
0.408,0.786,-0.301,-10.498,-14.587,-146.240,0
0.519,0.777,-0.325,-9.399,-2.319,-141.541,0
0.703,0.779,-0.364,-9.644,17.883,-139.038,0
1.010,0.820,-0.441,-6.653,23.621,-122.864,0
1.165,0.836,-0.428,1.892,0.671,-83.252,0
1.209,0.826,-0.422,8.057,-17.944,-40.222,0
1.132,0.858,-0.406,11.780,-16.296,-6.775,0
1.076,0.876,-0.435,13.672,-4.639,18.311,0
0.956,0.855,-0.399,17.639,9.277,39.063,0
0.833,0.845,-0.337,22.034,23.193,53.467,0
0.793,0.836,-0.313,23.560,32.227,65.491,0
0.729,0.828,-0.302,25.391,33.997,73.181,0
0.625,0.812,-0.295,27.893,35.950,87.708,0
0.522,0.809,-0.256,30.212,40.100,100.098,0
0.367,0.775,-0.234,31.677,35.522,111.877,0
0.288,0.789,-0.196,40.405,19.470,121.643,0
0.147,0.775,-0.120,42.786,-4.272,133.240,0
-0.006,0.749,-0.067,37.537,-5.798,133.484,0
-0.031,0.772,-0.074,31.189,4.028,127.197,0
-0.106,0.821,-0.048,28.809,8.362,126.404,0
-0.187,0.825,0.032,23.987,8.789,131.897,0
-0.258,0.794,0.107,18.066,-7.263,144.348,0
-0.365,0.813,0.108,6.592,-37.598,160.645,0
-0.732,0.821,0.146,-4.333,-38.086,164.917,0
-1.035,0.795,0.099,-11.658,-5.066,148.254,0
-1.330,0.823,0.108,-20.081,5.920,120.605,0
-1.366,0.845,0.043,-24.353,27.588,88.440,0
-1.363,0.847,-0.016,-29.480,25.696,62.500,0
-1.307,0.827,-0.043,-30.884,-3.174,48.462,0
-1.415,0.732,-0.080,-28.076,-33.264,23.621,0
-1.316,0.759,-0.119,-20.386,-73.486,-5.249,0
-1.192,0.750,-0.157,-20.813,-36.377,-37.781,0
-1.066,0.735,-0.224,-19.653,-9.338,-69.397,0
-0.957,0.725,-0.241,-15.686,-3.357,-95.764,0
-0.836,0.731,-0.201,-11.902,-2.625,-117.432,0
-0.682,0.743,-0.203,-8.667,-3.418,-129.150,0
-0.482,0.752,-0.214,-2.808,-12.268,-133.179,0
-0.350,0.751,-0.203,1.465,-20.691,-139.343,0
-0.276,0.728,-0.186,1.953,-21.790,-143.005,0
1.325,0.807,-0.426,7.996,7.263,-29.602,0
1.213,0.813,-0.381,12.024,-17.578,15.808,0
1.143,0.821,-0.399,11.475,-20.569,45.349,0
1.024,0.824,-0.395,13.245,-16.907,56.213,0
0.941,0.815,-0.360,17.639,-1.465,73.975,0
0.868,0.796,-0.276,19.287,13.733,90.271,0
0.779,0.797,-0.209,18.494,16.541,109.070,0
0.696,0.774,-0.191,13.733,14.282,128.967,0
0.551,0.759,-0.198,11.536,1.343,149.780,0
0.354,0.759,-0.185,14.099,-7.935,157.593,0
0.155,0.750,-0.121,13.428,-24.719,169.617,0
-0.073,0.703,-0.103,7.446,-10.193,168.762,0
