aX,aY,aZ,gX,gY,gZ,label
0.111,0.483,1.219,-22.766,-15.808,17.700,2
0.119,0.495,1.206,-29.602,-1.953,12.024,2
0.121,0.468,1.116,-31.738,1.892,8.301,2
0.172,0.452,1.063,-24.048,0.183,2.197,2
0.180,0.465,1.061,-18.921,-0.427,-0.244,2
0.233,0.402,1.074,-18.188,-3.845,-3.845,2
0.256,0.276,1.174,-25.330,-10.742,3.540,2
0.181,0.235,1.045,-36.926,-3.662,4.333,2
-0.006,0.270,0.921,-35.522,-3.479,4.639,2
-0.135,0.289,0.725,-34.912,-15.930,-3.784,2
-0.174,0.236,0.545,-29.236,-23.193,-14.893,2
-0.152,0.024,0.504,-24.658,-16.541,-16.418,2
-0.222,-0.200,0.448,-10.254,-3.845,-20.508,2
-0.189,-0.330,0.385,18.860,2.380,-37.781,2
-0.163,-0.610,0.404,52.185,-9.338,-56.519,2
0.131,-0.839,0.682,78.857,-6.165,-62.744,2
0.150,-0.947,0.929,91.675,7.751,-56.458,2
0.312,-0.916,1.018,88.989,30.457,-61.890,2
0.363,-0.845,1.085,95.520,26.489,-58.105,2
0.458,-0.713,1.244,94.238,18.616,-52.429,2
0.411,-0.545,1.318,80.017,3.540,-36.743,2
0.347,-0.372,1.288,51.697,2.014,-21.545,2
0.150,-0.241,1.161,24.170,-3.418,-7.812,2
-0.010,-0.197,1.052,6.531,-7.263,-2.563,2
-0.038,-0.184,0.977,3.479,-3.296,-5.981,2
0.066,-0.169,0.938,1.221,0.732,-10.681,2
0.183,-0.163,0.888,-1.831,-2.808,-9.766,2
0.148,-0.151,0.918,-2.686,-6.775,-1.953,2
0.119,-0.146,0.919,-0.549,-3.235,0.854,2
0.144,-0.124,0.957,2.991,0.366,1.709,2
0.157,-0.126,0.968,2.747,-0.916,2.075,2
0.091,-0.131,0.942,-0.977,-5.249,5.188,2
0.046,-0.141,0.927,-0.122,-6.348,4.578,2
0.046,-0.169,1.000,6.104,0.671,1.221,2
0.118,-0.225,1.056,6.592,12.085,-1.343,2
0.228,-0.295,1.118,4.578,11.719,-0.061,2
0.283,-0.391,1.189,-3.235,3.784,5.493,2
0.239,-0.444,1.188,-19.165,0.854,14.832,2
0.190,-0.408,1.102,-36.621,7.935,20.874,2
0.198,-0.395,1.009,-50.598,11.047,26.123,2
0.255,-0.372,0.864,-50.598,6.775,28.442,2
0.195,-0.422,0.824,-41.138,-8.057,38.696,2
0.089,-0.502,0.946,-25.208,-19.775,44.312,2
0.018,-0.581,0.998,-22.644,-23.743,44.922,2
-0.042,-0.417,0.992,-30.151,-14.160,41.199,2
-0.040,-0.394,0.869,-43.396,-13.367,38.452,2
0.006,-0.334,0.802,-36.316,-10.498,29.846,2
0.112,-0.378,0.804,-20.081,-7.568,23.682,2
0.203,-0.434,0.970,-7.874,-14.282,23.315,2
0.170,-0.352,0.980,-17.578,-9.705,27.832,2
0.093,-0.304,0.786,-30.823,0.610,29.175,2
0.044,-0.100,0.757,-21.912,-1.038,24.597,2
-0.029,0.006,0.779,-7.019,0.610,16.968,2
-0.038,0.066,0.776,13.855,9.949,6.775,2
0.054,0.199,0.716,4.456,13.672,1.282,2
0.055,0.476,0.748,15.686,20.264,-3.784,2
0.044,0.707,0.810,29.907,36.987,-11.841,2
-0.059,0.772,0.855,39.734,37.354,-20.386,2
0.072,0.890,0.999,51.636,28.687,-34.668,2
0.226,0.926,1.108,51.758,39.307,-38.635,2
0.255,0.890,1.169,48.767,44.861,-31.189,2
0.263,0.785,1.259,48.035,43.579,-28.992,2
0.267,0.648,1.344,46.021,29.846,-22.949,2
0.292,0.562,1.415,37.720,13.611,-17.761,2
-0.667,1.381,0.492,65.125,-34.546,-27.649,3
-0.563,1.432,0.516,60.852,-49.866,-33.997,3
-0.468,1.443,0.571,61.279,-63.354,-39.551,3
-0.430,1.410,0.603,59.570,-63.416,-59.021,3
-0.356,1.370,0.641,50.537,-53.711,-51.453,3
-0.269,1.331,0.627,38.513,-49.133,-56.335,3
-0.226,1.317,0.547,26.978,-45.044,-56.030,3
-0.197,1.327,0.508,24.902,-49.194,-55.725,3
-0.154,1.322,0.552,22.949,-56.641,-55.847,3
-0.054,1.297,0.611,20.691,-57.861,-56.274,3
0.100,1.293,0.696,8.118,-55.298,-55.481,3
0.179,1.293,0.633,-8.606,-54.810,-49.194,3
0.242,1.299,0.504,-19.653,-53.589,-44.128,3
0.255,1.303,0.412,-22.095,-49.561,-41.260,3
0.340,1.277,0.423,-20.813,-44.983,-38.269,3
0.408,1.225,0.549,-22.461,-49.500,-27.161,3
0.349,1.194,0.567,-38.025,-43.884,-14.465,3
0.311,1.176,0.502,-47.607,-34.424,-10.132,3
0.266,1.127,0.381,-56.030,-30.945,-11.597,3
0.291,1.105,0.303,-51.514,-30.884,-13.733,3
0.301,1.055,0.268,-42.725,-28.809,-13.245,3
0.280,1.007,0.308,-37.598,-22.339,-8.911,3
0.237,0.946,0.302,-39.551,-13.794,-4.333,3
0.217,0.900,0.241,-44.128,-5.798,-4.028,3
0.234,0.886,0.199,-43.579,0.549,-2.258,3
0.218,0.866,0.164,-43.396,10.071,0.793,3
0.220,0.860,0.174,-42.236,8.728,2.197,3
0.182,0.833,0.201,-38.818,6.409,5.859,3
0.208,0.806,0.174,-37.720,22.095,4.150,3
0.239,0.803,0.101,-33.508,30.945,5.676,3
0.245,0.803,0.047,-23.682,28.748,11.292,3
0.180,0.774,0.124,-12.390,27.161,19.287,3
0.134,0.755,0.247,-13.916,30.640,21.790,3
0.157,0.761,0.257,-24.292,37.231,21.484,3
0.218,0.761,0.222,-30.396,39.734,29.907,3
0.152,0.755,0.134,-34.973,36.072,34.546,3
0.033,0.738,0.087,-31.250,32.043,40.161,3
-0.014,0.754,0.080,-25.696,27.893,36.560,3
0.005,0.740,0.059,-24.597,36.377,30.334,3
-0.008,0.730,0.066,-22.644,52.734,29.846,3
-0.083,0.715,0.092,-19.409,59.143,33.081,3
-0.120,0.704,0.108,-16.418,51.453,32.715,3
-0.154,0.699,0.131,-15.869,45.105,31.250,3
-0.136,0.673,0.125,-17.395,33.447,27.466,3
-0.103,0.670,0.110,-19.287,31.372,26.489,3
-0.118,0.661,0.063,-21.423,38.574,31.067,3
-0.172,0.643,0.031,-18.738,40.588,34.851,3
-0.321,0.611,0.053,-11.475,35.400,36.194,3
-0.329,0.616,0.071,-10.803,47.180,27.466,3
-0.312,0.615,0.033,-13.611,47.729,19.775,3
-0.323,0.613,0.023,-13.977,50.049,17.090,3
-0.214,0.621,-0.010,-9.094,51.147,18.982,3
-0.313,0.617,0.018,-1.221,50.293,24.414,3
-0.468,0.613,0.088,3.906,49.194,23.132,3
-0.480,0.653,0.109,4.028,36.682,14.954,3
-0.401,0.642,0.015,0.610,34.363,10.986,3
-0.385,0.623,-0.041,5.615,42.847,9.766,3
-0.417,0.632,0.030,16.846,41.565,10.864,3
-0.562,0.687,0.107,22.339,32.227,11.597,3
-0.675,0.736,0.211,25.085,19.714,10.071,3
-0.682,0.750,0.210,21.912,16.968,1.648,3
-0.556,0.743,0.094,19.775,35.034,-13.184,3
-0.449,0.750,0.049,25.635,52.185,-25.696,3
-0.396,0.781,0.146,36.438,45.776,-26.428,3
-0.560,0.795,0.271,41.565,20.569,-12.878,3
-0.611,0.777,0.280,39.978,-9.338,-9.399,3
-0.622,0.782,0.253,40.222,-6.897,-23.621,3
-0.423,0.828,0.160,39.368,3.540,-34.912,3
-0.231,0.895,0.071,42.603,26.794,-44.128,3
-0.215,0.897,0.088,56.396,26.428,-31.616,3
-0.365,0.889,0.294,73.242,-17.212,-6.836,3
-0.551,0.927,0.426,68.359,-32.410,0.610,3
-0.519,1.067,0.359,53.223,-20.325,-11.780,3
-0.452,1.117,0.246,50.049,-7.141,-21.973,3
-0.428,1.124,0.349,63.293,-12.939,-21.118,3
-0.473,1.096,0.600,72.205,-27.222,-14.954,3
-0.532,1.158,0.656,64.819,-34.668,-11.230,3
-0.553,1.193,0.576,52.917,-39.063,-16.174,3
-0.550,1.252,0.552,47.424,-42.908,-26.917,3
-0.453,1.249,0.527,44.922,-44.189,-32.227,3
-0.462,1.231,0.573,41.626,-44.128,-32.349,3
-0.415,1.271,0.566,37.292,-50.720,-34.485,3
-0.365,1.291,0.546,30.579,-47.119,-38.269,3
-0.280,1.291,0.544,25.269,-49.316,-37.415,3
-0.322,1.277,0.541,21.179,-56.030,-31.006,3
-0.360,1.284,0.510,16.602,-63.049,-32.349,3
-0.276,1.286,0.478,13.672,-59.570,-41.748,3
-0.166,1.293,0.564,15.503,-59.875,-44.006,3
-0.111,1.312,0.656,10.437,-61.340,-42.419,3
-0.076,1.334,0.662,-2.075,-59.692,-39.917,3
-0.076,1.328,0.597,-13.672,-66.528,-36.377,3
0.035,1.300,0.529,-20.935,-67.444,-37.109,3
0.124,1.278,0.497,-26.184,-67.078,-37.415,3
0.184,1.253,0.445,-30.151,-63.477,-32.227,3
0.173,1.225,0.446,-33.264,-61.768,-26.184,3
0.153,1.217,0.449,-37.720,-56.152,-24.780,3
0.134,1.173,0.436,-39.429,-46.692,-29.236,3
0.213,1.148,0.359,-39.612,-43.213,-46.814,3
0.312,1.106,0.313,-35.828,-37.109,-31.433,3
0.368,1.078,0.476,-33.691,-28.137,-22.339,3
0.308,1.053,0.499,-45.532,-19.470,-13.000,3
0.290,1.015,0.388,-56.763,-21.179,-11.780,3
0.343,1.006,0.248,-57.251,-15.869,-13.611,3
0.385,0.979,0.241,-46.326,-13.000,-5.737,3
0.311,0.933,0.312,-42.419,-6.409,-0.549,3
0.288,0.911,0.339,-46.570,-1.465,-0.244,3
0.291,0.887,0.309,-53.223,6.958,-0.854,3
0.323,0.850,0.206,-58.044,22.156,1.770,3
0.307,0.826,0.130,-54.077,18.982,7.568,3
0.285,0.814,0.120,-49.500,11.841,13.550,3
0.240,0.794,0.138,-41.382,12.390,16.113,3
0.187,0.755,0.124,-40.894,24.780,15.991,3
0.167,0.712,0.045,-37.720,38.147,16.296,3
0.162,0.695,0.001,-28.381,48.035,16.846,3
0.169,0.691,0.053,-18.860,44.067,19.897,3
0.156,0.683,0.095,-18.677,43.945,24.353,3
0.124,0.665,0.088,-20.813,44.617,31.860,3
0.045,0.665,0.054,-20.996,45.898,33.936,3
-0.079,0.657,0.012,-18.250,48.157,34.302,3
-0.514,1.354,0.759,71.777,-47.119,-22.217,3
-0.477,1.464,0.608,50.903,-48.706,-23.621,3
-0.471,1.570,0.653,53.650,-57.922,-25.391,3
-0.460,1.680,0.778,56.396,-54.321,-33.447,3
-0.306,1.519,0.975,38.818,-35.095,-53.284,3
-0.188,1.332,0.684,0.244,-35.156,-49.255,3
-0.240,1.243,0.295,-11.658,-57.068,-32.349,3
-0.334,1.215,0.204,1.648,-71.777,-26.917,3
-0.338,1.201,0.258,10.437,-76.843,-30.457,3
-0.302,1.165,0.429,17.456,-68.115,-42.603,3
-0.151,1.187,0.518,9.583,-52.856,-50.415,3
-0.053,1.244,0.506,-1.770,-56.335,-41.809,3
-0.089,1.280,0.484,-10.254,-79.590,-27.527,3
-0.117,1.284,0.448,-13.916,-79.956,-24.536,3
-0.115,1.293,0.379,-19.470,-71.777,-32.227,3
0.028,1.306,0.411,-20.264,-54.504,-44.006,3
0.207,1.317,0.488,-20.447,-50.110,-41.870,3
0.252,1.330,0.575,-25.635,-54.688,-29.907,3
0.206,1.303,0.508,-39.368,-50.720,-24.780,3
0.275,1.292,0.378,-48.340,-42.358,-29.785,3
0.315,1.277,0.313,-48.889,-36.072,-29.968,3
0.400,1.235,0.265,-43.823,-34.729,-26.428,3
0.375,1.153,0.303,-36.926,-33.752,-18.311,3
0.390,1.100,0.415,-36.926,-28.015,-13.611,3
0.409,1.048,0.445,-48.706,-10.742,-8.484,3
0.380,1.007,0.333,-63.538,-1.221,-4.700,3
0.294,0.945,0.215,-63.477,-5.615,-1.953,3
0.294,0.926,0.120,-54.321,1.648,-2.319,3
0.298,0.887,0.088,-47.913,9.827,-2.441,3
0.320,0.822,0.109,-33.325,22.583,-1.160,3
0.313,0.800,0.266,-23.560,24.658,6.470,3
0.258,0.781,0.395,-34.302,25.330,14.282,3
0.238,0.743,0.329,-54.871,28.259,14.832,3
0.239,0.699,0.173,-64.026,32.043,15.625,3
0.225,0.705,0.076,-57.312,30.762,18.127,3
0.141,0.693,0.040,-45.288,32.410,22.278,3
0.120,0.675,0.061,-39.124,32.837,23.743,3
0.128,0.622,0.134,-32.959,32.288,24.170,3
0.134,0.559,0.170,-36.804,46.936,24.658,3
0.105,0.529,0.145,-44.128,62.073,21.667,3
0.094,0.492,0.051,-47.424,72.021,23.193,3
0.066,0.492,-0.007,-43.030,65.674,25.818,3
0.026,0.484,-0.022,-37.048,53.223,32.349,3
-0.042,0.490,-0.054,-35.034,46.875,35.095,3
-0.135,0.479,-0.091,-31.555,37.170,40.771,3
-0.247,0.483,-0.078,-26.794,31.006,43.152,3
-0.299,0.467,-0.052,-24.170,38.086,37.537,3
-0.271,0.517,-0.074,-25.269,51.453,29.663,3
-0.237,0.527,-0.146,-25.146,55.725,27.527,3
-0.272,0.508,-0.180,-17.700,55.115,32.471,3
-0.362,0.504,-0.142,-7.629,57.800,34.973,3
-0.406,0.538,-0.115,-4.333,55.969,29.541,3
-0.423,0.559,-0.125,-1.282,53.101,26.611,3
-0.458,0.590,-0.157,3.906,59.387,24.231,3
-0.498,0.590,-0.135,14.832,56.091,21.912,3
-0.536,0.626,-0.084,24.841,45.166,15.564,3
-0.512,0.611,-0.035,26.672,43.518,11.353,3
-0.444,0.616,-0.047,29.785,55.054,2.014,3
-0.378,0.694,-0.062,32.349,61.340,-4.333,3
-0.457,0.787,-0.029,35.156,49.927,2.075,3
-0.564,0.763,0.042,40.588,26.672,9.460,3
-0.628,0.698,0.105,45.532,21.912,6.531,3
-0.647,0.692,0.167,48.340,35.645,-9.644,3
-0.575,0.708,0.188,46.936,44.800,-18.860,3
-0.612,0.760,0.175,48.401,56.091,-26.306,3
-0.661,0.787,0.226,57.068,37.842,-26.184,3
-0.663,0.787,0.344,61.707,12.878,-25.391,3
-0.630,0.801,0.312,56.396,4.822,-31.372,3
-0.449,0.881,0.213,50.232,12.329,-44.617,3
-0.346,0.976,0.181,57.983,27.588,-47.485,3
-0.350,0.984,0.342,72.510,10.071,-33.386,3
-0.372,0.966,0.452,76.599,-18.127,-14.954,3
-0.504,0.982,0.530,72.510,-23.010,-11.230,3
-0.553,1.092,0.484,65.308,-25.391,-14.587,3
-0.526,1.193,0.416,65.552,-13.428,-22.095,3
-0.602,1.245,0.502,72.815,-10.986,-22.705,3
-0.549,1.248,0.695,75.256,-31.189,-21.423,3
-0.532,1.312,0.761,61.707,-38.147,-16.479,3
-0.569,1.355,0.626,45.105,-42.358,-13.428,3
-0.581,1.378,0.538,37.903,-56.030,-13.184,3
-0.636,1.380,0.577,36.743,-69.519,-13.062,3
-0.634,1.370,0.592,31.738,-67.566,-19.897,3
-0.546,1.404,0.607,23.926,-64.392,-32.043,3
-0.458,1.379,0.502,11.536,-57.678,-42.969,3
-0.420,1.354,0.415,8.789,-52.917,-50.964,3
-0.439,1.351,0.422,9.888,-49.561,-63.599,3
-0.300,1.329,0.506,7.874,-39.856,-83.496,3
0.042,1.339,0.572,-0.854,-46.875,-88.501,3
0.175,1.341,0.572,-10.071,-59.204,-72.815,3
0.278,1.337,0.553,-14.771,-63.599,-61.401,3
0.219,1.321,0.454,-26.794,-64.941,-45.959,3
0.204,1.312,0.329,-35.645,-59.143,-42.908,3
0.189,1.316,0.249,-36.865,-53.345,-41.443,3
0.321,1.276,0.358,-30.457,-56.152,-40.527,3
0.383,1.238,0.483,-31.372,-56.396,-33.569,3
0.447,1.207,0.479,-42.419,-48.401,-28.870,3
0.523,1.177,0.399,-48.889,-38.940,-23.926,3
0.532,1.102,0.437,-49.255,-38.452,-13.428,3
0.513,1.060,0.435,-49.683,-26.855,-10.803,3
0.531,1.008,0.402,-49.866,-16.418,-9.583,3
0.512,0.958,0.386,-49.744,-10.010,-2.930,3
0.515,0.880,0.431,-53.711,-9.583,6.836,3
0.456,0.836,0.421,-58.044,9.644,17.395,3
0.384,0.785,0.322,-71.899,4.272,18.066,3
0.362,0.754,0.162,-78.735,7.996,19.775,3
0.259,0.751,0.055,-73.364,11.169,21.301,3
0.203,0.727,-0.018,-63.232,17.395,22.400,3
0.167,0.686,0.031,-52.124,17.212,24.780,3
0.137,0.670,0.086,-48.157,19.592,26.001,3
0.088,0.649,0.058,-52.551,25.818,25.818,3
0.079,0.651,0.016,-55.725,31.250,23.071,3
0.093,0.641,-0.045,-55.176,34.729,21.790,3
0.077,0.643,-0.115,-49.133,46.265,25.330,3
0.015,0.654,-0.134,-35.828,42.969,29.907,3
0.002,0.628,-0.117,-26.855,36.682,33.203,3
-0.054,0.599,-0.108,-23.132,43.335,32.166,3
-0.074,0.582,-0.100,-21.912,54.443,27.832,3
-0.155,0.575,-0.101,-17.456,57.556,29.358,3
-0.217,0.588,-0.087,-7.812,51.270,29.846,3
-0.690,1.219,0.518,68.237,-13.794,-28.137,3
-0.647,1.277,0.416,65.063,-7.263,-31.189,3
-0.606,1.327,0.458,72.388,-12.695,-28.076,3
-0.599,1.338,0.639,79.529,-26.001,-17.700,3
-0.627,1.343,0.812,70.068,-39.307,-12.268,3
-0.615,1.423,0.740,48.767,-44.678,-18.005,3
-0.624,1.655,0.624,39.429,-39.246,-27.283,3
-0.542,1.584,0.767,34.180,-25.696,-45.959,3
-0.410,1.301,0.663,6.836,-20.142,-46.814,3
-0.451,1.139,0.395,-11.108,-43.457,-27.100,3
-0.559,1.098,0.260,-12.146,-66.467,-17.395,3
-0.523,1.111,0.282,-4.333,-78.491,-28.870,3
-0.445,1.125,0.378,-2.808,-70.313,-46.387,3
-0.240,1.173,0.443,-9.705,-62.622,-55.603,3
-0.175,1.200,0.351,-19.165,-65.674,-44.983,3
-0.195,1.241,0.316,-21.423,-67.871,-36.621,3
-0.219,1.290,0.269,-20.447,-69.763,-36.133,3
-0.114,1.336,0.323,-14.832,-72.144,-43.091,3
-0.030,1.354,0.459,-13.977,-62.744,-51.086,3
0.156,1.366,0.540,-23.865,-50.171,-55.054,3
0.211,1.363,0.483,-35.767,-59.814,-44.128,3
0.189,1.330,0.334,-44.800,-59.570,-35.889,3
0.201,1.288,0.183,-42.725,-55.115,-37.170,3
0.228,1.234,0.224,-37.170,-48.401,-40.283,3
0.339,1.159,0.358,-37.659,-43.030,-40.039,3
0.401,1.135,0.415,-48.218,-27.649,-32.593,3
0.394,1.078,0.242,-58.655,-16.907,-24.963,3
0.356,1.032,0.046,-55.359,-9.399,-21.606,3
0.340,1.028,0.021,-38.696,-9.705,-19.348,3
0.407,0.959,0.178,-33.508,-9.033,-14.160,3
0.410,0.904,0.361,-40.161,-1.526,-12.817,3
0.392,0.854,0.330,-57.983,2.014,-4.456,3
0.335,0.810,0.169,-68.665,9.460,0.305,3
0.315,0.789,0.057,-64.453,17.883,-0.366,3
0.344,0.756,0.076,-52.673,17.639,-1.099,3
0.404,0.744,0.101,-42.175,22.278,1.587,3
0.408,0.707,0.193,-37.598,22.278,12.085,3
0.325,0.657,0.202,-44.739,36.865,23.193,3
0.278,0.637,0.081,-53.650,54.321,26.367,3
0.249,0.614,0.007,-55.847,60.425,24.109,3
0.271,0.591,-0.112,-47.852,64.087,24.719,3
0.259,0.562,-0.168,-31.677,55.725,34.485,3
0.220,0.548,-0.079,-18.188,45.898,49.500,3
0.079,0.538,-0.004,-18.066,47.119,61.401,3
-0.038,0.511,-0.040,-28.259,59.082,61.462,3
-0.120,0.499,-0.102,-29.358,68.237,62.073,3
-0.270,0.497,-0.143,-26.123,61.707,63.477,3
-0.281,0.532,-0.146,-19.348,48.035,53.650,3
-0.253,0.524,-0.140,-16.174,55.847,40.649,3
-0.194,0.524,-0.108,-12.451,73.120,34.851,3
-0.206,0.526,-0.081,-6.653,78.491,41.992,3
-0.328,0.555,-0.024,-4.456,63.782,48.767,3
-0.423,0.601,0.001,-3.601,52.673,49.011,3
-0.422,0.612,-0.048,-6.287,45.654,42.847,3
-0.424,0.564,-0.117,-5.005,67.627,30.945,3
-0.412,0.568,-0.089,5.127,80.750,25.940,3
-0.566,0.609,0.025,17.883,63.599,28.809,3
-0.587,0.615,0.097,17.822,47.485,26.428,3
-0.576,0.588,0.017,8.728,52.551,15.381,3
-0.480,0.551,-0.124,4.333,68.481,-2.625,3
-0.484,0.522,-0.169,15.564,74.219,-6.653,3
-0.642,0.642,-0.021,41.870,58.350,1.099,3
-0.685,0.657,0.077,53.040,28.809,6.714,3
-0.800,0.658,0.240,50.842,19.409,2.991,3
-0.769,0.627,0.201,37.476,32.227,-20.325,3
-0.593,0.678,0.073,29.114,63.965,-51.147,3
-0.478,0.788,0.005,37.964,77.576,-56.396,3
-0.511,0.846,0.149,55.908,57.190,-37.354,3
-0.749,0.818,0.363,66.833,18.982,-17.395,3
-0.855,0.764,0.344,59.631,12.146,-27.649,3
-0.757,0.827,0.259,55.542,24.414,-56.580,3
-0.462,0.961,0.099,56.519,35.339,-64.087,3
-0.426,1.056,0.209,72.510,42.053,-50.232,3
-0.559,1.014,0.565,91.248,2.197,-24.170,3
-0.740,1.030,0.715,83.740,-37.476,-12.268,3
-0.733,1.139,0.638,69.397,-40.405,-27.832,3
-0.555,1.250,0.481,59.509,-18.250,-44.678,3
-0.475,1.259,0.473,59.570,-14.587,-42.236,3
-0.515,1.247,0.543,62.439,-33.386,-28.198,3
-0.546,1.274,0.586,58.960,-55.176,-18.188,3
-0.549,1.299,0.520,52.856,-60.120,-20.752,3
-0.497,1.289,0.484,47.180,-58.411,-26.794,3
-0.498,1.243,0.491,41.504,-59.875,-26.184,3
-0.478,1.217,0.482,38.635,-57.007,-25.696,3
-0.464,1.195,0.419,28.992,-60.181,-23.987,3
-0.469,1.187,0.382,24.719,-70.129,-21.912,3
-0.495,1.179,0.344,21.362,-73.059,-25.269,3
-0.493,1.202,0.354,20.813,-71.167,-36.133,3
-0.418,1.252,0.453,20.691,-69.580,-50.415,3
-0.247,1.292,0.659,18.433,-64.758,-64.697,3
-0.052,1.324,0.731,4.578,-60.913,-66.406,3
0.051,1.317,0.650,-13.977,-71.899,-54.688,3
0.049,1.312,0.481,-24.353,-81.848,-41.138,3
-0.012,1.317,0.446,-24.658,-86.975,-38.025,3
0.034,1.302,0.514,-24.109,-78.247,-45.105,3
0.134,1.286,0.585,-33.386,-67.261,-48.096,3
0.169,1.269,0.548,-56.396,-61.829,-44.678,3
0.221,1.236,0.421,-53.162,-59.570,-42.358,3
0.220,1.207,0.285,-55.908,-50.598,-39.368,3
0.290,1.163,0.307,-52.856,-42.786,-41.138,3
0.428,1.156,0.405,-54.138,-33.264,-38.696,3
0.450,1.137,0.434,-60.364,-27.832,-25.146,3
0.396,1.090,0.351,-67.871,-25.879,-15.686,3
0.421,1.040,0.250,-71.106,-18.066,-17.151,3
0.468,1.014,0.176,-69.763,-8.301,-13.245,3
0.457,0.968,0.153,-66.040,-1.526,-1.160,3
0.388,0.928,0.132,-62.439,-1.282,11.841,3
0.292,0.895,0.059,-58.533,9.155,16.846,3
0.199,0.854,0.004,-54.565,13.550,14.709,3
0.192,0.826,0.006,-46.631,12.207,14.832,3
0.148,0.785,0.030,-46.448,19.714,14.038,3
0.186,0.760,-0.012,-46.387,37.231,14.709,3
0.176,0.740,-0.007,-45.166,37.292,19.958,3
0.138,0.695,-0.034,-43.396,35.278,24.170,3
0.165,0.687,-0.107,-38.818,40.344,22.522,3
0.204,0.668,-0.114,-27.405,39.490,24.109,3
0.200,0.627,-0.025,-17.639,47.485,35.828,3
0.054,0.612,0.041,-15.198,50.964,49.988,3
-0.001,0.602,0.048,-16.235,44.739,54.077,3
-0.621,1.377,0.821,30.151,-37.109,-23.071,3
-0.564,1.415,0.942,13.550,-22.949,-48.279,3
-0.498,1.228,0.681,-21.057,-9.094,-63.049,3
-0.373,1.145,0.465,-39.612,-24.109,-50.598,3
-0.321,1.081,0.095,-37.048,-39.734,-24.597,3
-0.415,1.059,0.014,-18.799,-75.623,-12.878,3
-0.523,1.083,0.072,0.977,-94.910,-6.958,3
-0.484,1.136,0.252,13.611,-88.135,-19.287,3
-0.439,1.183,0.453,10.925,-65.186,-34.546,3
-0.308,1.230,0.447,-3.967,-49.622,-49.744,3
-0.132,1.263,0.270,-14.038,-48.035,-49.194,3
-0.074,1.275,0.239,-12.329,-63.293,-40.771,3
-0.026,1.274,0.272,-10.986,-64.514,-42.175,3
0.035,1.279,0.289,-12.512,-63.782,-46.875,3
0.198,1.289,0.334,-14.404,-61.523,-46.692,3
0.289,1.288,0.384,-21.179,-56.946,-41.504,3
0.325,1.279,0.357,-29.968,-45.898,-37.903,3
0.445,1.247,0.312,-32.043,-40.527,-35.767,3
0.558,1.210,0.317,-29.236,-47.119,-30.212,3
0.586,1.168,0.414,-34.546,-43.396,-18.250,3
0.558,1.151,0.400,-45.898,-33.508,-10.437,3
0.601,1.142,0.312,-55.847,-25.269,-7.690,3
0.578,1.137,0.216,-60.303,-18.799,-2.686,3
0.575,1.094,0.203,-61.462,-14.771,4.517,3
0.534,1.048,0.252,-63.599,-10.376,7.751,3
0.516,0.978,0.234,-69.946,-0.549,12.329,3
0.500,0.931,0.180,-77.759,6.714,16.968,3
0.465,0.884,0.089,-81.360,13.855,23.376,3
0.380,0.847,0.010,-79.590,19.775,28.442,3
0.315,0.796,-0.056,-73.853,18.433,30.457,3
0.281,0.739,-0.080,-68.604,26.306,29.602,3
0.278,0.721,-0.083,-64.575,38.330,29.114,3
0.253,0.672,-0.119,-62.805,43.762,30.151,3
0.182,0.628,-0.175,-57.800,52.734,31.189,3
0.141,0.618,-0.232,-46.082,54.993,30.884,3
0.113,0.625,-0.245,-29.297,52.368,28.320,3
0.092,0.596,-0.220,-13.855,52.673,24.719,3
0.121,0.586,-0.090,-4.395,56.641,24.475,3
0.096,0.586,0.007,-6.714,62.561,31.555,3
-0.010,0.547,0.005,-17.334,60.425,38.025,3
-0.041,0.552,-0.031,-22.400,61.951,38.269,3
-0.058,0.533,-0.116,-22.156,60.974,36.316,3
-0.067,0.517,-0.165,-15.442,60.181,34.912,3
-0.091,0.510,-0.171,-5.615,57.068,36.072,3
-0.175,0.484,-0.118,5.249,49.866,42.114,3
-0.304,0.437,-0.024,11.108,40.466,45.471,3
-0.345,0.397,-0.009,8.850,41.565,37.292,3
-0.293,0.422,-0.095,3.906,55.847,24.658,3
-0.270,0.468,-0.132,7.874,69.275,18.799,3
-0.318,0.485,-0.085,20.386,69.336,22.888,3
-0.348,0.468,-0.026,33.020,59.448,32.410,3
-0.471,0.471,0.100,33.508,54.077,34.302,3
-0.443,0.505,0.152,23.437,48.462,24.963,3
-0.424,0.549,0.061,11.963,46.692,19.531,3
-0.514,0.602,0.039,18.555,47.119,26.428,3
-0.708,0.578,0.116,32.104,32.837,26.001,3
-0.694,0.574,0.151,36.987,29.236,6.836,3
-0.588,0.658,0.124,37.048,42.297,-12.207,3
-0.546,0.707,0.097,37.292,48.767,-15.320,3
-0.570,0.775,0.045,41.809,40.466,-13.184,3
-0.576,0.797,0.099,54.504,18.860,-9.155,3
-0.636,0.797,0.199,56.458,15.442,-7.874,3
-0.700,0.870,0.234,56.030,20.813,-12.817,3
-0.717,0.931,0.172,54.077,18.494,-19.653,3
-0.726,0.960,0.157,63.660,16.296,-24.902,3
-0.770,0.964,0.260,74.646,9.949,-29.663,3
-0.769,0.972,0.298,77.881,3.906,-37.598,3
-0.688,1.044,0.399,76.416,7.629,-43.030,3
-0.604,1.131,0.398,67.444,19.409,-46.631,3
-0.644,1.172,0.420,62.012,14.587,-37.354,3
